ANIO_VIAJE,MES_VIAJE,LOCATION_ID_SALIDA,ZONE_SALIDA,LOCATION_ID_LLEGADA,ZONE_LLEGADA,Borough_SALIDA,Borough_LLEGADA,TOTAL_VIAJES,TRIP_DISTANCE,TOTAL_TARIFA
2011,1,87,Financial District North,107,Gramercy,Manhattan,Manhattan,2663,10155.899999999998,32158.700000000026
2011,1,87,Financial District North,13,Battery Park City,Manhattan,Manhattan,3244,4184.680000000003,21085.59999999996
2011,1,68,East Chelsea,17,Bedford,Manhattan,Brooklyn,278,1847.47,5568.5999999999985
2011,1,65,Downtown Brooklyn/MetroTech,40,Carroll Gardens,Brooklyn,Brooklyn,145,246.44999999999996,1097.3
2011,1,65,Downtown Brooklyn/MetroTech,33,Brooklyn Heights,Brooklyn,Brooklyn,260,277.45000000000005,1585.5000000000014
2011,1,45,Chinatown,13,Battery Park City,Manhattan,Manhattan,683,1118.22,5058.799999999997
2011,1,48,Clinton East,116,Hamilton Heights,Manhattan,Manhattan,1393,8191.190000000008,22406.899999999954
2011,1,127,Inwood,90,Flatiron,Manhattan,Manhattan,6,67.2,175.39999999999998
2011,1,113,Greenwich Village North,40,Carroll Gardens,Manhattan,Brooklyn,370,1762.2400000000007,5512.599999999996
2011,1,114,Greenwich Village South,83,Elmhurst/Maspeth,Manhattan,Queens,41,323.98999999999995,848.4999999999999
2011,1,48,Clinton East,39,Canarsie,Manhattan,Brooklyn,23,376.2,973.5
2011,1,4,Alphabet City,82,Elmhurst,Manhattan,Queens,26,206.12,571.8
2011,1,114,Greenwich Village South,60,Crotona Park East,Manhattan,Bronx,4,45.42,144.79999999999998
2011,1,12,Battery Park,26,Borough Park,Manhattan,Brooklyn,2,12.9,40.6
2011,1,87,Financial District North,115,Grymes Hill/Clifton,Manhattan,Staten Island,6,77.77,179.8
2011,1,28,Briarwood/Jamaica Hills,64,Douglaston,Queens,Queens,2,21.380000000000003,55.8
2011,1,80,East Williamsburg,77,East New York/Pennsylvania Avenue,Brooklyn,Brooklyn,1,4.3,12.9
2011,1,14,Bay Ridge,4,Alphabet City,Brooklyn,Manhattan,2,11.3,30.2
2011,1,43,Central Park,102,Glendale,Manhattan,Queens,5,55.529999999999994,140.10000000000002
2011,1,13,Battery Park City,20,Belmont,Manhattan,Bronx,11,130.45,369.8999999999999
2011,1,47,Claremont/Bathgate,61,Crown Heights North,Bronx,Brooklyn,1,20.8,47.3
2011,1,74,East Harlem North,106,Gowanus,Manhattan,Brooklyn,4,47.58,125.20000000000002
2011,1,90,Flatiron,6,Arrochar/Fort Wadsworth,Manhattan,Staten Island,2,28.71,67.8
2011,1,93,Flushing Meadows-Corona Park,54,Columbia Street,Queens,Brooklyn,1,12.81,28.1
2011,1,106,Gowanus,91,Flatlands,Brooklyn,Brooklyn,1,5.3,15.7
2011,1,74,East Harlem North,121,Hillcrest/Pomonok,Manhattan,Queens,3,38.28,87.9
2011,1,14,Bay Ridge,114,Greenwich Village South,Brooklyn,Manhattan,1,7.78,23.3
2011,1,45,Chinatown,124,Howard Beach,Manhattan,Queens,1,14.8,42.5
2011,1,42,Central Harlem North,121,Hillcrest/Pomonok,Manhattan,Queens,1,13.3,31.7
2011,1,92,Flushing,37,Bushwick South,Queens,Brooklyn,1,10.3,23.7
2011,1,17,Bedford,88,Financial District South,Brooklyn,Manhattan,1,4.34,11.7
2011,1,90,Flatiron,32,Bronxdale,Manhattan,Bronx,6,91.57000000000001,211.79999999999995
2011,1,90,Flatiron,4,Alphabet City,Manhattan,Manhattan,1436,2927.629999999998,12701.199999999988
2011,1,49,Clinton Hill,87,Financial District North,Brooklyn,Manhattan,25,90.67,302.09999999999997
2011,1,71,East Flatbush/Farragut,89,Flatbush/Ditmas Park,Brooklyn,Brooklyn,14,42.76,157.0
2011,1,65,Downtown Brooklyn/MetroTech,45,Chinatown,Brooklyn,Manhattan,308,590.0899999999999,2168.8000000000006
2011,1,112,Greenpoint,34,Brooklyn Navy Yard,Brooklyn,Brooklyn,14,37.88999999999999,127.00000000000001
2011,1,52,Cobble Hill,66,DUMBO/Vinegar Hill,Brooklyn,Brooklyn,197,284.5200000000002,1394.500000000001
2011,1,61,Crown Heights North,71,East Flatbush/Farragut,Brooklyn,Brooklyn,16,44.59000000000001,163.6
2011,1,125,Hudson Sq,101,Glen Oaks,Manhattan,Queens,1,20.9,52.1
2011,1,75,East Harlem South,119,Highbridge,Manhattan,Bronx,60,250.82000000000002,733.2000000000002
2011,1,95,Forest Hills,113,Greenwich Village North,Queens,Manhattan,8,85.85000000000001,226.00000000000003
2011,1,95,Forest Hills,52,Cobble Hill,Queens,Brooklyn,4,45.35999999999999,109.6
2011,1,42,Central Harlem North,90,Flatiron,Manhattan,Manhattan,32,219.42000000000002,619.6
2011,1,87,Financial District North,123,Homecrest,Manhattan,Brooklyn,22,218.76,586.2
2011,1,106,Gowanus,13,Battery Park City,Brooklyn,Manhattan,11,53.300000000000004,154.7
2011,1,61,Crown Heights North,65,Downtown Brooklyn/MetroTech,Brooklyn,Brooklyn,16,36.39,149.60000000000002
2011,1,34,Brooklyn Navy Yard,61,Crown Heights North,Brooklyn,Brooklyn,10,43.55,134.6
2011,1,114,Greenwich Village South,53,College Point,Manhattan,Queens,9,127.35000000000001,292.09999999999997
2011,1,107,Gramercy,72,East Flatbush/Remsen Village,Manhattan,Brooklyn,14,131.3,384.2
2011,1,44,Charleston/Tottenville,44,Charleston/Tottenville,Staten Island,Staten Island,6,7.27,121.1
2011,1,109,Great Kills,109,Great Kills,Staten Island,Staten Island,7,2.7,768.9
2011,1,67,Dyker Heights,84,Eltingville/Annadale/Prince's Bay,Brooklyn,Staten Island,1,17.8,42.9
2011,1,100,Garment District,46,City Island,Manhattan,Bronx,1,17.22,38.1
2011,1,41,Central Harlem,19,Bellerose,Manhattan,Queens,1,16.65,37.3
2011,1,15,Bay Terrace/Fort Totten,16,Bayside,Queens,Queens,6,15.340000000000002,57.0
